date,numWeek,nameOf,continuousHoliday,nameDay,checkHoliday,nameType
3/15/2022,11,Normal Day,no,Tuesday,not holiday,weekDay
3/16/2022,11,Normal Day,no,Wednesday,not holiday,weekDay
3/17/2022,11,Normal Day,no,Thursday,not holiday,weekDay
3/18/2022,11,Normal Day,no,Friday,not holiday,weekDay
3/19/2022,12,Normal Day,no,Saturday,holiday,weekEnd
3/20/2022,12,Normal Day,no,Sunday,holiday,weekEnd
3/21/2022,12,Normal Day,no,Monday,not holiday,weekDay
3/22/2022,12,Normal Day,no,Tuesday,not holiday,weekDay
3/23/2022,12,Normal Day,no,Wednesday,not holiday,weekDay
3/24/2022,12,Normal Day,no,Thursday,not holiday,weekDay
3/25/2022,12,Normal Day,no,Friday,not holiday,weekDay
