date,numWeek,nameOf,continuousHoliday,nameDay,checkHoliday,nameType
4/19/2021,16,Normal Day,no,Monday,not holiday,weekDay
4/20/2021,16,Normal Day,no,Tuesday,not holiday,weekDay
4/21/2021,16,Normal Day,no,Wednesday,not holiday,weekDay
4/22/2021,16,Normal Day,no,Thursday,not holiday,weekDay
4/23/2021,17,Normal Day,no,Friday,not holiday,weekDay
4/24/2021,17,Normal Day,no,Saturday,holiday,weekEnd
4/25/2021,17,Normal Day,no,Sunday,holiday,weekEnd
4/26/2021,17,Normal Day,no,Monday,not holiday,weekDay
4/27/2021,17,Normal Day,no,Tuesday,not holiday,weekDay
4/28/2021,17,Normal Day,no,Wednesday,not holiday,weekDay
4/29/2021,17,Normal Day,no,Thursday,not holiday,weekDay
4/30/2021,18,Normal Day,no,Friday,not holiday,weekDay
5/1/2021,18,Labour Day,yes,Saturday,holiday,Spacial
5/2/2021,18,Normal Day,yes,Sunday,holiday,weekEnd
5/3/2021,18,Compensatory Holiday,yes,Monday,holiday,Spacial
5/4/2021,18,Coronation Day,yes,Tuesday,holiday,Spacial
5/5/2021,18,Normal Day,no,Wednesday,not holiday,weekDay
5/6/2021,18,Normal Day,no,Thursday,not holiday,weekDay
5/7/2021,19,Normal Day,no,Friday,not holiday,weekDay
5/8/2021,19,Normal Day,no,Saturday,holiday,weekEnd
5/9/2021,19,Normal Day,no,Sunday,holiday,weekEnd
5/10/2021,19,Normal Day,no,Monday,not holiday,weekDay
5/11/2021,19,Normal Day,no,Tuesday,not holiday,weekDay
5/12/2021,19,Normal Day,no,Wednesday,not holiday,weekDay
5/13/2021,19,Normal Day,no,Thursday,not holiday,weekDay
5/14/2021,20,Normal Day,no,Friday,not holiday,weekDay
5/15/2021,20,Normal Day,no,Saturday,holiday,weekEnd
5/16/2021,20,Normal Day,no,Sunday,holiday,weekEnd
5/17/2021,20,Normal Day,no,Monday,not holiday,weekDay
5/18/2021,20,Normal Day,no,Tuesday,not holiday,weekDay
5/19/2021,20,Normal Day,no,Wednesday,not holiday,weekDay
5/20/2021,20,Normal Day,no,Thursday,not holiday,weekDay
5/21/2021,21,Normal Day,no,Friday,not holiday,weekDay
5/22/2021,21,Normal Day,no,Saturday,holiday,weekEnd
5/23/2021,21,Normal Day,no,Sunday,holiday,weekEnd
5/24/2021,21,Normal Day,no,Monday,not holiday,weekDay
5/25/2021,21,Normal Day,no,Tuesday,not holiday,weekDay
5/26/2021,21,Vesak Day,no,Wednesday,holiday,Spacial
5/27/2021,21,Normal Day,no,Thursday,not holiday,weekDay
5/28/2021,22,Normal Day,no,Friday,not holiday,weekDay
5/29/2021,22,Normal Day,no,Saturday,holiday,weekEnd
5/30/2021,22,Normal Day,no,Sunday,holiday,weekEnd
5/31/2021,22,Normal Day,no,Monday,not holiday,weekDay
6/1/2021,22,Normal Day,no,Tuesday,not holiday,weekDay
6/2/2021,22,Normal Day,no,Wednesday,not holiday,weekDay
6/3/2021,22,H.M. The Queen Suthida's Birthday,no,Thursday,holiday,Spacial
6/4/2021,23,Normal Day,no,Friday,not holiday,weekDay
6/5/2021,23,Normal Day,no,Saturday,holiday,weekEnd
6/6/2021,23,Normal Day,no,Sunday,holiday,weekEnd
6/7/2021,23,Normal Day,no,Monday,not holiday,weekDay
6/8/2021,23,Normal Day,no,Tuesday,not holiday,weekDay
6/9/2021,23,Normal Day,no,Wednesday,not holiday,weekDay
6/10/2021,23,Normal Day,no,Thursday,not holiday,weekDay
6/11/2021,24,Normal Day,no,Friday,not holiday,weekDay
6/12/2021,24,Normal Day,no,Saturday,holiday,weekEnd
6/13/2021,24,Normal Day,no,Sunday,holiday,weekEnd
6/14/2021,24,Normal Day,no,Monday,not holiday,weekDay
6/15/2021,24,Normal Day,no,Tuesday,not holiday,weekDay
6/16/2021,24,Normal Day,no,Wednesday,not holiday,weekDay
6/17/2021,24,Normal Day,no,Thursday,not holiday,weekDay
6/18/2021,25,Normal Day,no,Friday,not holiday,weekDay
6/19/2021,25,Normal Day,no,Saturday,holiday,weekEnd
6/20/2021,25,Normal Day,no,Sunday,holiday,weekEnd
6/21/2021,25,Normal Day,no,Monday,not holiday,weekDay
6/22/2021,25,Normal Day,no,Tuesday,not holiday,weekDay
6/23/2021,25,Normal Day,no,Wednesday,not holiday,weekDay
6/24/2021,25,Normal Day,no,Thursday,not holiday,weekDay
6/25/2021,26,Normal Day,no,Friday,not holiday,weekDay
6/26/2021,26,Normal Day,no,Saturday,holiday,weekEnd
6/27/2021,26,Normal Day,no,Sunday,holiday,weekEnd
6/28/2021,26,Normal Day,no,Monday,not holiday,weekDay
6/29/2021,26,Normal Day,no,Tuesday,not holiday,weekDay
6/30/2021,26,Normal Day,no,Wednesday,not holiday,weekDay
7/1/2021,26,Normal Day,no,Thursday,not holiday,weekDay
7/2/2021,27,Normal Day,no,Friday,not holiday,weekDay
7/3/2021,27,Normal Day,no,Saturday,holiday,weekEnd
